Codigo Muncipio,Municipio,Longitud,Latitud,Sexo,Edad,Fecha de inicio,Duración,Nombre del Curso,Area Temática
76109000,Buenaventura,-770117402003,387580243673,M,Sin Información,09/04/2020 12:00:00 AM,2,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,F,Sin Información,08/28/2020 12:00:00 AM,3,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,F,Sin Información,08/28/2020 12:00:00 AM,4,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,F,Sin Información,08/28/2020 12:00:00 AM,4,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,M,Sin Información,08/28/2020 12:00:00 AM,4,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,M,Sin Información,08/28/2020 12:00:00 AM,4,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,F,Sin Información,08/28/2020 12:00:00 AM,3,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,F,Sin Información,08/28/2020 12:00:00 AM,1,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,M,Sin Información,09/04/2020 12:00:00 AM,2,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,M,Sin Información,08/28/2020 12:00:00 AM,4,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,F,Sin Información,08/28/2020 12:00:00 AM,4,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,F,Sin Información,08/28/2020 12:00:00 AM,4,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,M,Sin Información,09/05/2020 12:00:00 AM,1,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,M,Sin Información,09/04/2020 12:00:00 AM,2,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,M,Sin Información,08/28/2020 12:00:00 AM,4,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,F,Sin Información,08/28/2020 12:00:00 AM,4,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,F,Sin Información,08/28/2020 12:00:00 AM,4,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,M,Sin Información,08/28/2020 12:00:00 AM,1,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,M,Sin Información,08/28/2020 12:00:00 AM,2,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,M,Sin Información,09/04/2020 12:00:00 AM,2,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,F,Sin Información,09/05/2020 12:00:00 AM,1,Diplomado de transformación digital para periodistas,Transformación Digital
76001000,Cali,-765215651508,341441430458,M,Sin Información,08/28/2020 12:00:00 AM,4,Diplomado de transformación digital para periodistas,Transformación Digital
